l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
0.0,0.0,4.0,6.0,0.0,0.0,0.0,20.0
4.0,0.0,6.0,5.0,0.0,0.0,1.0,16.0
1.0,6.0,3.0,7.0,0.0,0.0,2.0,14.0
6.0,0.0,7.0,4.0,0.0,0.0,3.0,14.0
7.0,0.0,10.0,7.0,1.0,1.0,8.0,21.0
5.0,5.0,6.0,6.0,1.0,1.0,10.0,16.0
6.0,4.0,7.0,6.0,1.0,1.0,11.0,16.0
4.0,5.0,5.0,6.0,2.0,2.0,16.0,15.0
6.0,6.0,7.0,10.0,2.0,2.0,17.0,18.0
3.0,6.0,6.0,9.0,2.0,2.0,20.0,19.0
1.0,7.0,3.0,12.0,3.0,3.0,21.0,9.0
6.0,3.0,7.0,4.0,12.0,12.0,40.0,8.0
2.0,7.0,3.0,9.0,19.0,19.0,45.0,6.0
6.0,6.0,7.0,7.0,20.0,20.0,47.0,6.0
