l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
6.0,1.0,8.0,8.0,0.0,0.0,0.0,18.0
2.0,2.0,6.0,8.0,0.0,0.0,1.0,19.0
8.0,7.0,9.0,9.0,1.0,1.0,2.0,10.0
6.0,9.0,10.0,17.0,1.0,1.0,7.0,19.0
7.0,8.0,8.0,9.0,1.0,1.0,8.0,17.0
2.0,8.0,5.0,11.0,2.0,2.0,9.0,13.0
5.0,8.0,7.0,9.0,2.0,2.0,10.0,15.0
5.0,8.0,7.0,9.0,2.0,2.0,11.0,15.0
8.0,4.0,9.0,7.0,2.0,2.0,12.0,9.0
6.0,6.0,8.0,8.0,5.0,5.0,15.0,12.0
8.0,6.0,9.0,7.0,5.0,5.0,16.0,8.0
8.0,6.0,9.0,7.0,5.0,5.0,17.0,8.0
8.0,3.0,9.0,4.0,6.0,6.0,20.0,6.0
8.0,0.0,9.0,3.0,9.0,9.0,30.0,5.0
4.0,8.0,5.0,9.0,9.0,9.0,32.0,9.0
6.0,8.0,7.0,9.0,22.0,22.0,43.0,3.0
2.0,8.0,4.0,9.0,25.0,25.0,44.0,0.0
