l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
0.0,0.0,3.0,7.0,0.0,0.0,0.0,10.0
3.0,0.0,4.0,6.0,0.0,0.0,1.0,8.0
6.0,2.0,7.0,4.0,0.0,0.0,2.0,8.0
4.0,0.0,6.0,5.0,0.0,0.0,5.0,9.0
7.0,0.0,9.0,7.0,1.0,1.0,11.0,12.0
4.0,5.0,6.0,6.0,1.0,1.0,12.0,7.0
6.0,2.0,7.0,6.0,1.0,1.0,13.0,8.0
3.0,0.0,4.0,5.0,1.0,1.0,15.0,4.0
3.0,6.0,4.0,8.0,2.0,2.0,17.0,8.0
6.0,6.0,7.0,10.0,2.0,2.0,18.0,11.0
7.0,7.0,9.0,11.0,2.0,2.0,19.0,11.0
4.0,6.0,6.0,9.0,2.0,2.0,20.0,10.0
2.0,7.0,3.0,8.0,3.0,3.0,21.0,5.0
1.0,8.0,4.0,12.0,3.0,3.0,24.0,9.0
6.0,5.0,7.0,6.0,3.0,3.0,25.0,5.0
3.0,5.0,4.0,6.0,6.0,6.0,29.0,3.0
3.0,7.0,4.0,8.0,14.0,14.0,42.0,1.0
